id,date,a_abstract,b_id,b_abstract,b_categories,c_id,c_abstract,c_categories,y_true,research_type,a_title,a_categories,b_title,c_title
neg-d2-0,2025-03-23,,2503.18058," Establishing detailed relationships between transnormal systems of different
types and their behaviors under covering maps, this paper presents a
classification of transnormal systems on compact 3-manifolds in the sense of
equivalence. For CPC transnormal systems, we show that the ambient manifolds
must be locally isometric to one of six standard geometries up to equivalence.
We also find some equivalence classes containing no CPC transnormal system,
highlighting a critical distinction between isoparametric foliations and CPC
transnormal systems, which has not been previously addressed in the literature.",['math.DG'],2501.01753," Detecting the transition from laminar to turbulent flow in particulate pipe
systems remains a complex issue in fluid dynamics, often requiring
sophisticated and costly experimental apparatus. This research presents an
innovative streak visualization method designed to offer a simple and robust
approach to identify transitional turbulent patterns in particulate pipe flows
with neutrally buoyant particles. The technique employs a laser arrangement and
a low-cost camera setup to capture particle-generated streaks within the fluid,
enabling real-time observation of flow patterns. Validation of the proposed
method was conducted through comparison with established techniques like
Particle Image Velocimetry (PIV) and pressure drop measurements, confirming its
accuracy and reliability. Experiments demonstrate the streak visualization
method's capacity to differentiate between laminar, transitional, and turbulent
flow regimes by analyzing the standard deviation of streak angles. The method
is especially efficient at low particle concentration, ie precisely where other
more established methods become less effective. Furthermore, this technique
enables us to identify a critical Reynolds number using Kullback-Leibler
divergence built on the statistical distribution of streak angles, which is
consistent with previous studies.
  Because it is effective at low concentrations and robust, this streak
visualization technique opens new perspectives for the characterization of
particulate pipe flows not only in the confines of the laboratory but also in
less controlled industrial multi-phase flows where determining the laminar or
turbulent nature of the flow is a prerequisite for flowmeter calibration.",['physics.flu-dyn'],False,,,,"On the Classification of Isoparametric Hypersurfaces with Constant
  Principal Curvatures in Compact 3-Manifolds","Detecting Turbulent Patterns in Particulate Pipe Flow by Streak Angle
  Visualization"
neg-d2-1,2025-01-14,,2501.08479," Serverless computing offers elasticity unmatched by conventional server-based
cloud infrastructure. Although modern data processing systems embrace
serverless storage, such as Amazon S3, they continue to manage their compute
resources as servers. This is challenging for unpredictable workloads, leaving
clusters often underutilized. Recent research shows the potential of serverless
compute resources, such as cloud functions, for elastic data processing, but
also sees limitations in performance robustness and cost efficiency for long
running workloads. These challenges require holistic approaches across the
system stack. However, to the best of our knowledge, there is no end-to-end
data processing system built entirely on serverless infrastructure. In this
paper, we present Skyrise, our effort towards building the first fully
serverless SQL query processor. Skyrise exploits the elasticity of its
underlying infrastructure, while alleviating the inherent limitations with a
number of adaptive and cost-aware techniques. We show that both Skyrise's
performance and cost are competitive to other cloud data systems for
terabyte-scale queries of the analytical TPC-H benchmark.",['cs.DB'],2502.09337," This thesis is an exposition of the author's contribution on effective
descent morphisms in various categories of generalized categorical structures.
It consists of: Chapter 1, where an elementary description of descent theory
and the content of each remaining chapter is provided, supplemented with
references; Chapter 2, consisting of various descent theoretical definitions
and results employed in the remainder of this work; four chapters, each
corresponding to an article written by the author during the period of his PhD
studies.",['math.CT'],False,,,,"Skyrise: Exploiting Serverless Cloud Infrastructure for Elastic Data
  Processing",Some aspects of descent theory and applications
neg-d2-2,2025-01-29,,2501.17489," Brain-computer interfaces (BCIs) present a promising avenue by translating
neural activity directly into text, eliminating the need for physical actions.
However, existing non-invasive BCI systems have not successfully covered the
entire alphabet, limiting their practicality. In this paper, we propose a novel
non-invasive EEG-based BCI system with Curriculum-based Neural Spelling
Framework, which recognizes all 26 alphabet letters by decoding neural signals
associated with handwriting first, and then apply a Generative AI (GenAI) to
enhance spell-based neural language decoding tasks. Our approach combines the
ease of handwriting with the accessibility of EEG technology, utilizing
advanced neural decoding algorithms and pre-trained large language models
(LLMs) to translate EEG patterns into text with high accuracy. This system show
how GenAI can improve the performance of typical spelling-based neural language
decoding task, and addresses the limitations of previous methods, offering a
scalable and user-friendly solution for individuals with communication
impairments, thereby enhancing inclusive communication options.","['cs.HC', 'cs.AI']",2502.1968," Recent advances in Multi-Modal Large Language Models (M-LLMs) show promising
results in video reasoning. Popular Multi-Modal Large Language Model (M-LLM)
frameworks usually apply naive uniform sampling to reduce the number of video
frames that are fed into an M-LLM, particularly for long context videos.
However, it could lose crucial context in certain periods of a video, so that
the downstream M-LLM may not have sufficient visual information to answer a
question. To attack this pain point, we propose a light-weight M-LLM -based
frame selection method that adaptively select frames that are more relevant to
users' queries. In order to train the proposed frame selector, we introduce two
supervision signals (i) Spatial signal, where single frame importance score by
prompting a M-LLM; (ii) Temporal signal, in which multiple frames selection by
prompting Large Language Model (LLM) using the captions of all frame
candidates. The selected frames are then digested by a frozen downstream video
M-LLM for visual reasoning and question answering. Empirical results show that
the proposed M-LLM video frame selector improves the performances various
downstream video Large Language Model (video-LLM) across medium (ActivityNet,
NExT-QA) and long (EgoSchema, LongVideoBench) context video question answering
benchmarks.","['cs.CV', 'cs.AI']",False,,,,Neural Spelling: A Spell-Based BCI System for Language Neural Decoding,M-LLM Based Video Frame Selection for Efficient Video Understanding
neg-d2-3,2025-01-24,,2501.14901," In a recent study, Dannen et al. surveyed a large parameter space to study
the transition from efficient to inefficient line driving. They found that when
the line force significantly weakens due to ionization, the winds are variable,
with a characteristic frequency comparable to the Lamb cut-off frequency of a
stratified atmosphere, {\omega}c. In this work, we present a set of simulations
and perturbation analyses that elucidate the variability source and
characteristics. We found that the line force adds wave energy and amplifies
perturbations with frequencies near {\omega}c. This selective amplification
results from the coupling between the natural tendency of velocity
perturbations to grow in a stratified atmosphere and the dependence of the line
force on the velocity gradient, per the Castor-Abbott-Klein line-driven wind
theory. We also found that the variability stems from self-excitation that
occurs in the exponential atmosphere due to the non-linearity introduced by the
absolute value of the velocity gradient in the line force prescription. We
conclude that self-consistently calculating ionization is insufficient for
modeling the dynamics in the subsonic atmosphere. Instead future wind models
should relax the Sobolev approximation, or model the radiative transfer to
capture the dynamics and instabilities at the base of the wind.",['astro-ph.GA'],2502.18295," In this note, we provide a proof of the existence and complete classification
of $G$-invariant star products with quantum momentum maps on Poisson manifolds
by means of an equivariant version of the formality theorem.","['math.QA', 'math-ph', 'math.MP', 'math.SG']",False,,,,Oscillatory Line-Driven Winds: The Role of Atmospheric Stratification,Quantization of the Momentum Map via $\frak{g}$-adapted Formalities
neg-d2-4,2025-03-06,,2503.04612," This note is concerned with the distribution of the angles between Oseledets
subspaces for linear cocycles driven by an ergodic transformation. We restrict
ourselves to dimension $2$, and give particular attention to the question of
log-integrability of those angles. In the setting of random i.i.d.\ products of
matrices, we construct examples of probability measures on \(\GL_2(\R)\) with
finite first moment, for which the angle between Oseledets directions of the
associated cocycle is not log-integrable. Building on work for the totally
irreducible case by Benoist and Quint, we show that for probability measures
with finite second moment the angle between Oseledets subspaces is always
log-integrable. Then we pivot to general measurable \(\GL_2(\R)\)-cocycles over
an arbitrary ergodic automorphism of a non-atomic Lebesgue space. We show that
no integrability condition on the distribution of the matrices is sufficient to
guarantee log-integrability of the angle between Oseledets spaces. In fact, in
this context we show that the joint distribution of the Oseledets spaces may be
chosen arbitrarily. We also obtain a similar flexibility result for bounded
cocycles under the proper condition on the distribution of angles.",['math.DS'],2501.0317," Microwave shielding is an important technique that can suppress the losses
that arise from collisions of ultracold polar molecules. It has been
instrumental in achieving molecular Bose-Einstein condensation (BEC) for NaCs
[Bigagli et al., Nature 631, 289 (2024)]. We demonstrate that microwave
shielding is universal, in the sense that the 2-body collision properties of
different molecules are very similar when expressed in suitable reduced units
of length and energy. This applies to rate coefficients for inelastic
scattering and loss, to scattering lengths, and to the properties of 2-molecule
bound states. We also explore the small deviations from universality that arise
at very large Rabi frequencies. In general, the collision properties are
near-universal except when the Rabi frequency exceeds a few percent of the
molecular rotational constant. The universality extends to elliptically
polarized microwaves and to combinations of multiple fields. Our results
indicate that the methods that have been used to achieve BEC for NaCs can be
transferred directly to most other polar molecules.","['cond-mat.quant-gas', 'physics.atom-ph']",False,,,,On the distribution of the angle between Oseledets spaces,Universality in the microwave shielding of ultracold polar molecules
neg-d2-5,2025-01-09,,2501.0571," Recent research shows that emotions can enhance users' cognition and
influence information communication. While research on visual emotion analysis
is extensive, limited work has been done on helping users generate emotionally
rich image content. Existing work on emotional image generation relies on
discrete emotion categories, making it challenging to capture complex and
subtle emotional nuances accurately. Additionally, these methods struggle to
control the specific content of generated images based on text prompts. In this
work, we introduce the new task of continuous emotional image content
generation (C-EICG) and present EmotiCrafter, an emotional image generation
model that generates images based on text prompts and Valence-Arousal values.
Specifically, we propose a novel emotion-embedding mapping network that embeds
Valence-Arousal values into textual features, enabling the capture of specific
emotions in alignment with intended input prompts. Additionally, we introduce a
loss function to enhance emotion expression. The experimental results show that
our method effectively generates images representing specific emotions with the
desired content and outperforms existing techniques.",['cs.CV'],2501.05114," A growing number of directly-imaged companions have been recently
characterised, with robust constraints on carbon-to-oxygen ratios and even
isotopic ratios. Many companions and isolated targets have also shown spectral
variability. In this work we observed the super-Jupiter AB~Pictoris~b across
four consecutive nights using VLT/CRIRES+ as part of the ESO SupJup survey,
exploring how the constraints on chemical composition and temperature profile
change over time using spectral line shape variations between nights. We
performed atmospheric retrievals of the high-resolution observations and found
broadly consistent results across all four nights, but there were differences
for some parameters. We clearly detect H$_2$O, $^{12}$CO and $^{13}$CO in each
night, but abundances varied by $\sim2\sigma$, which was correlated to the deep
atmosphere temperature profiles. We also found differences in the
$^{12}$C$/^{13}$C ratios in each night by up to $\sim3\sigma$, which seemed to
be correlated with the cloud deck pressure. Our combined retrieval
simultaneously analysing all nights together constrained broadly the average of
each night individually, with the C/O$=0.59\pm0.01$, consistent with solar
composition, and $^{12}$C$/^{13}$C~$ = 102\pm8$, slightly higher than the ISM
and Solar System values. We also find a low projected rotational velocity,
suggesting that AB~Pictoris~b is either intrinsically a slow rotator due to its
young age or that the spin axis is observed pole-on with a $\sim90^\circ$
misalignment with its orbit inclination. Future observations will be able to
further explore the variability and orbit of AB~Pictoris~b as well as for other
companions.",['astro-ph.EP'],False,,,,"EmotiCrafter: Text-to-Emotional-Image Generation based on
  Valence-Arousal Model","The ESO SupJup Survey V: Exploring Atmospheric Variability and Orbit of
  the Super-Jupiter AB Pictoris b with CRIRES+"
neg-d2-6,2025-03-12,,2503.09389," We study canonical-equilibrium properties of Random Field $O(n)$ Models
involving classical continuous vector spins of $n$ components with mean-field
interactions and subject to disordered fields acting on individual spins. To
this end, we employ two complementary approaches: the mean-field approximation,
valid for any disorder distribution, and the replica trick, applicable when the
disordered fields are sampled from a Gaussian distribution. On the basis of an
exact analysis, we demonstrate that when replica symmetry holds, both the
approaches yield identical expression for the free energy per spin of the
system. As consequences, we study the case of $n=2$ ($XY$ spins) and that of
$n=3$ (Heisenberg spins) for two representative choices of the disorder
distribution, namely, a Gaussian and a symmetric bimodal distribution. For both
$n=2$ and $n=3$, we demonstrate that while the magnetization exhibits a
continuous phase transition as a function of temperature for the Gaussian case,
the transition could be either continuous or first-order with an emergent
tricriticality when the disorder distribution is bimodal. We also discuss in
the context of our models the issue of self-averaging of extensive variables
near the critical point of a continuous phase transition.","['cond-mat.stat-mech', 'cond-mat.dis-nn']",2501.17687," We study magneto-transport through topological insulator nanowires shaped in
the form of a constriction, as can be obtained by etching techniques. The
magnetic field is coaxial, potentially turning the nanowire into a
magneto-chiral junction. We show in a detailed analytical and numerical study
that two main transport regimes emerge, depending on the central narrow region
being short or long as compared to the magnetic length at the junction entrance
and exit. In both cases the central region hosts Dirac-particle-in-a-box states
due to magnetic confinement, whose conductance properties are strongly
influenced by Landau levels at the ends of the constriction. Notably, in the
low-energy regime only chiral states with a specific handedness can transport
charge across the junction. Based on these properties and general symmetry
considerations we argue that the shaped nanowire should exhibit strong
magneto-chiral non-reciprocal transport beyond linear response. We employ a
numerical tight-binding implementation of an effective 2D model on a
non-homogeneous grid, capable of simulating samples of realistic sizes, and
test its soundness against full simulations for scaled-down 3D topological
insulator wires.",['cond-mat.mes-hall'],False,,,,"Canonical equilibrium of mean-field $O(n)$~models in presence of random
  fields","Topological insulator constrictions -- Dirac particles in a
  magneto-chiral box"
neg-d2-7,2025-02-27,,2502.2045," Superconductivity has recently been demonstrated in La$_3$Ni$_2$O$_7$ up to
91K under moderate pressure in bulk crystals, and up to 48K at ambient pressure
in thin films grown under compressive strain. Key questions remain open
regarding the crystal structure and low-energy electronic states that support
superconductivity in these compounds. Here we take advantage of the natural
polymorphism between bilayer (2222) or alternating monolayer-trilayer (1313)
stacking sequences that arises in bulk La$_3$Ni$_2$O$_7$ crystals to identify
universal features in this family of materials. Employing angle-resolved
photoemission spectroscopy (ARPES) we observe the fingerprint of a spin-density
wave (SDW) instability, strong and coherent enough to modify the electronic
structure. We demonstrate that this feature is a `translated' $\beta$ Fermi
surface associated with a scattering vector $Q_{t\beta}$ which matches the
$Q_{SDW}$ detected by neutron and x-ray scattering experiments. This
observation provides an important link between surface and bulk probes, and
demonstrates a universal connection between magnetism and fermiology in
La$_3$Ni$_2$O$_7$ as well as La$_4$Ni$_3$O$_{10}$. We simulate the spectral
weight distribution observed in our ARPES dichroism experiments and establish
that the low-energy electronic phenomenology is dominated by oxygen-centered
planar orbitals, which -- upon moving along the Fermi surface away from the
Ni-O-Ni bond directions -- evolve from the $d_{3x^2-r^2}$ and $d_{3y^2-r^2}$
symmetry characteristic of 3-spin polarons to the familiar $d_{x^2-y^2}$
Zhang-Rice singlets that support high-temperature superconductivity in
cuprates. Despite the multiorbital nature of the nickelates, our work
establishes an empirical correspondence between the low-energy electronic
structure of cuprates and nickelates, thus suggesting a common origin for their
unconventional superconductivity.",['cond-mat.supr-con'],2503.16491," The rapid adoption of generative AI in software development has impacted the
industry, yet its effects on developers with visual impairments remain largely
unexplored. To address this gap, we used an Activity Theory framework to
examine how developers with visual impairments interact with AI coding
assistants. For this purpose, we conducted a study where developers who are
visually impaired completed a series of programming tasks using a generative AI
coding assistant. We uncovered that, while participants found the AI assistant
beneficial and reported significant advantages, they also highlighted
accessibility challenges. Specifically, the AI coding assistant often
exacerbated existing accessibility barriers and introduced new challenges. For
example, it overwhelmed users with an excessive number of suggestions, leading
developers who are visually impaired to express a desire for ``AI timeouts.''
Additionally, the generative AI coding assistant made it more difficult for
developers to switch contexts between the AI-generated content and their own
code. Despite these challenges, participants were optimistic about the
potential of AI coding assistants to transform the coding experience for
developers with visual impairments. Our findings emphasize the need to apply
activity-centered design principles to generative AI assistants, ensuring they
better align with user behaviors and address specific accessibility needs. This
approach can enable the assistants to provide more intuitive, inclusive, and
effective experiences, while also contributing to the broader goal of enhancing
accessibility in software development.","['cs.HC', 'cs.AI', 'cs.CY']",False,,,,"Universal electronic structure of layered nickelates via oxygen-centered
  planar orbitals","The Impact of Generative AI Coding Assistants on Developers Who Are
  Visually Impaired"
neg-d2-8,2025-02-03,,2502.01185," We present a novel deep learning network for Active Speech Cancellation
(ASC), advancing beyond Active Noise Cancellation (ANC) methods by effectively
canceling both noise and speech signals. The proposed Multi-Band Mamba
architecture segments input audio into distinct frequency bands, enabling
precise anti-signal generation and improved phase alignment across frequencies.
Additionally, we introduce an optimization-driven loss function that provides
near-optimal supervisory signals for anti-signal generation. Experimental
results demonstrate substantial performance gains, achieving up to 7.2dB
improvement in ANC scenarios and 6.2dB in ASC, significantly outperforming
existing methods. Audio samples are available at
https://mishalydev.github.io/DeepASC-Demo","['cs.SD', 'cs.AI', 'cs.LG', 'eess.AS', 'eess.SP']",2502.04659," Blockchains have revolutionized decentralized applications, with
composability enabling atomic, trustless interactions across smart contracts.
However, layer 2 (L2) scalability solutions like rollups introduce
fragmentation and hinder composability. Current cross-chain protocols,
including atomic swaps, bridges, and shared sequencers, lack the necessary
coordination mechanisms or rely on trust assumptions, and are thus not
sufficient to support full cross-rollup composability. This paper presents
$\mathsf{CRATE}$, a secure protocol for cross-rollup composability that ensures
all-or-nothing and serializable execution of cross-rollup transactions (CRTs).
$\mathsf{CRATE}$ supports rollups on distinct layer 1 (L1) chains, achieves
finality in 4 rounds on L1, and only relies on the underlying L1s and the
liveness of L2s. We introduce two formal models for CRTs, define atomicity
within them, and formally prove the security of $\mathsf{CRATE}$. We also
provide an implementation of $\mathsf{CRATE}$ along with a cross-rollup flash
loan application; our experiments demonstrate that $\mathsf{CRATE}$ is
practical in terms of gas usage on L1.",['cs.CR'],False,,,,Deep Active Speech Cancellation with Multi-Band Mamba Network,$\mathsf{CRATE}$: Cross-Rollup Atomic Transaction Execution
neg-d2-9,2025-01-08,,2501.04442," This paper explores an eclectic range of path-planning methodologies
engineered for rolling surfaces. Our focus is on the kinematic intricacies of
rolling contact systems, which are investigated through a motion planning lens.
Beyond summarizing the approaches to single-contact rotational surfaces, we
explore the challenging domain of spin-rolling multi-contact systems. Our work
proposes solutions for the higher-dimensional problem of multiple rotating
objects in contact. Venturing beyond kinematics, these methodologies find
application across a spectrum of domains, including rolling robots,
reconfigurable swarm robotics, micro/nano manipulation, and nonprehensile
manipulations. Through meticulously examining established planning strategies,
we unveil their practical implementations in various real-world scenarios, from
intricate dexterous manipulation tasks to the nimble manoeuvring of rolling
robots and even shape planning of multi-contact swarms of particles. This study
introduces the persistent challenges and unexplored frontiers of robotics,
intricately linked to both path planning and mechanism design. As we illuminate
existing solutions, we also set the stage for future breakthroughs in this
dynamic and rapidly evolving field by highlighting the critical importance of
addressing rolling contact problems.",['cs.RO'],2503.09765," Market fragmentation across multiple Automated Market Makers (AMMs) creates
inefficiencies such as costly arbitrage, unnecessarily high slippage and
delayed incorporation of new information into prices. These inefficiencies
raise trading costs, reduce liquidity provider profits, and degrade overall
market efficiency. To address these issues, we propose a modification of the
Constant Product Market Maker (CPMM) pricing mechanism, called the Global
Market Maker (GMM), which aggregates liquidity information from all AMMs to
mitigate these inefficiencies. Through theoretical and numerical analyses, we
demonstrate that the GMM enhances profits for both AMMs and traders by
eliminating arbitrage opportunities. Additionally, it reduces the profitability
of sandwich attacks and minimizes impermanent losses.","['econ.GN', 'q-fin.EC']",False,,,,"A Survey on Path Planning Problem of Rolling Contacts: Approaches,
  Applications and Future Challenges",Pooling Liquidity Pools in AMMs
